x,y,z,label_old,label,vox_num,index,module,index_module,index_node
-58.7547,-42.2264,-15.9245,ITG_L_7_6,A20cl_l,159,99,ITG,9,11
60.4435,-40.487,-17.087,ITG_R_7_6,A20cl_r,115,100,ITG,9,12
-54.7725,-30.521,-27.4132,ITG_L_7_7,A20cv_l,167,101,ITG,9,13
53.7018,-30.3158,-26.3509,ITG_R_7_7,A20cv_r,171,102,ITG,9,14
-32.5567,-16,-32.6804,FuG_L_3_1,A20rv_l,291,103,FuG,10,1
33.138,-14.3282,-34.2515,FuG_R_3_1,A20rv_r,326,104,FuG,10,2
-30.4843,-64.7244,-13.8661,FuG_L_3_2,A37mv_l,254,105,FuG,10,3
31.1233,-61.2877,-13.4795,FuG_R_3_2,A37mv_r,219,106,FuG,10,4
-42.3356,-50.5424,-17.5424,FuG_L_3_3,A37lv_l,295,107,FuG,10,5
42.6304,-49.1907,-18.5486,FuG_R_3_3,A37lv_r,257,108,FuG,10,6
-27.6,-7.08,-33.6,PhG_L_6_1,A35/36r_l,50,109,PhG,11,1
27.6429,-8.0714,-33.3571,PhG_R_6_1,A35/36r_r,42,110,PhG,11,2
-25.8511,-23.8085,-27,PhG_L_6_2,A35/36c_l,47,111,PhG,11,3
27,-22.4082,-27.4898,PhG_R_6_2,A35/36c_r,49,112,PhG,11,4
-28.26,-32.58,-16.86,PhG_L_6_3,TL_l,50,113,PhG,11,5
28.9737,-30.3158,-17.7632,PhG_R_6_3,TL_r,38,114,PhG,11,6
-18.4444,-10.6667,-30.2778,PhG_L_6_4,A28/34_l,54,115,PhG,11,7
18.3243,-9.3243,-29.6757,PhG_R_6_4,A28/34_r,37,116,PhG,11,8
-23.4231,1.8462,-32.4231,PhG_L_6_5,TI_l,26,117,PhG,11,9
21.6563,0.65625,-36,PhG_R_6_5,TI_r,32,118,PhG,11,10
-17.1628,-38.7907,-10.8837,PhG_L_6_6,TH_l,43,119,PhG,11,11
18.1277,-35.7447,-11.234,PhG_R_6_6,TH_r,47,120,PhG,11,12
-54.375,-39.8304,4.2321,pSTS_L_2_1,rpSTS_l,112,121,pSTS,12,1
52.8716,-36.8257,2.8899,pSTS_R_2_1,rpSTS_r,109,122,pSTS,12,2
-52.4712,-50.2788,10.6442,pSTS_L_2_2,cpSTS_l,104,123,pSTS,12,3
56.3333,-39.9259,12.4074,pSTS_R_2_2,cpSTS_r,81,124,pSTS,12,4
-16.1455,-60.4636,62.6727,SPL_L_5_1,A7r_l,110,125,SPL,13,1
19.3571,-56.875,65.1964,SPL_R_5_1,A7r_r,168,126,SPL,13,2
-15.2932,-70.7594,50.9774,SPL_L_5_2,A7c_l,133,127,SPL,13,3
18.6081,-68.8581,53.5135,SPL_R_5_2,A7c_r,148,128,SPL,13,4
-33.1103,-46.7868,49.7647,SPL_L_5_3,A5l_l,136,129,SPL,13,5
34.9811,-41.9434,53.6887,SPL_R_5_3,A5l_r,106,130,SPL,13,6
-22.7613,-47.6516,64.7419,SPL_L_5_4,A7pc_l,155,131,SPL,13,7
22.9048,-43.5714,67.2857,SPL_R_5_4,A7pc_r,126,132,SPL,13,8
-27.5038,-58.6031,53.6565,SPL_L_5_5,A7ip_l,131,133,SPL,13,9
30.9712,-53.5899,53.5036,SPL_R_5_5,A7ip_r,139,134,SPL,13,10
-34.1589,-80.1589,28.0841,IPL_L_6_1,A39c_l,321,135,IPL,14,1
45.338,-71.6028,20.3831,IPL_R_6_1,A39c_r,355,136,IPL,14,2
-37.6109,-61.3191,46.4708,IPL_L_6_2,A39rd_l,257,137,IPL,14,3
39.6495,-64.9897,43.9175,IPL_R_6_2,A39rd_r,291,138,IPL,14,4
-51.2979,-33.2569,41.4658,IPL_L_6_3,A40rd_l,292,139,IPL,14,5
46.9796,-35.2449,45.3265,IPL_R_6_3,A40rd_r,294,140,IPL,14,6
-55.5584,-49.1493,37.8604,IPL_L_6_4,A40c_l,308,141,IPL,14,7
57.1185,-43.8237,38.6717,IPL_R_6_4,A40c_r,329,142,IPL,14,8
-46.8587,-64.637,25.6761,IPL_L_6_5,A39rv_l,460,143,IPL,14,9
53.0455,-54.1667,24.4318,IPL_R_6_5,A39rv_r,396,144,IPL,14,10
-53.2548,-31.1083,22.5573,IPL_L_6_6,A40rv_l,314,145,IPL,14,11
55.0924,-26.3478,25.3451,IPL_R_6_6,A40rv_r,368,146,IPL,14,12
-4.3148,-63.9444,50.537,PCun_L_4_1,A7m_l,162,147,PCu,15,1
6.5656,-64.8197,51.3197,PCun_R_4_1,A7m_r,122,148,PCu,15,2
-8.375,-47.2857,57.4821,PCun_L_4_2,A5m_l,168,149,PCu,15,3
7.5606,-46.7121,58.3788,PCun_R_4_2,A5m_r,198,150,PCu,15,4
-12.1093,-66.668,25.6761,PCun_L_4_3,dmPOS_l,247,151,PCu,15,5
16.2829,-63.6118,24.9079,PCun_R_4_3,dmPOS_r,304,152,PCu,15,6
-6.1493,-55.4796,33.3258,PCun_L_4_4,A31_l,221,153,PCu,15,7
6.0913,-54.4905,34.7681,PCun_R_4_4,A31_r,263,154,PCu,15,8
-50.2755,-15.7698,42.0906,PoG_L_4_1,A1/2/3ulhf_l,265,155,PoG,16,1
49.8935,-14.3384,43.6882,PoG_R_4_1,A1/2/3ulhf_r,263,156,PoG,16,2
-55.8857,-13.9371,16.2686,PoG_L_4_2,A1/2/3tonIa_l,175,157,PoG,16,3
54.918,-10.2295,14.9836,PoG_R_4_2,A1/2/3tonIa_r,183,158,PoG,16,4
-45.7195,-30.0271,49.9683,PoG_L_4_3,A2_l,221,159,PoG,16,5
47.3839,-24.5893,48.0268,PoG_R_4_3,A2_r,224,160,PoG,16,6
-21.2647,-34.3529,68.6029,PoG_L_4_4,A1/2/3tru_l,204,161,PoG,16,7
20.1279,-32.6686,69.0698,PoG_R_4_4,A1/2/3tru_r,172,162,PoG,16,8
-36.3673,-20.1429,9.7959,INS_L_6_1,G_l,98,163,INS,17,1
37.1053,-17.8026,7.8158,INS_R_6_1,G_r,76,164,INS,17,2
-32.2174,14.087,-13.2609,INS_L_6_2,vIa_l,69,165,INS,17,3
33.1034,14.6379,-12.6207,INS_R_6_2,vIa_r,58,166,INS,17,4
-33.875,18.0833,1.5417,INS_L_6_3,dIa_l,72,167,INS,17,5
36.2239,18.8955,0.9403,INS_R_6_3,dIa_r,67,168,INS,17,6
-38.1429,-3.6234,-9.1948,INS_L_6_4,vId/vIg_l,77,169,INS,17,7
38.9259,-1.6667,-9.1111,INS_R_6_4,vId/vIg_r,81,170,INS,17,8
-38.3023,-8.0581,8.6163,INS_L_6_5,dIg_l,86,171,INS,17,9
39.2118,-6.7765,7.2,INS_R_6_5,dIg_r,85,172,INS,17,10
-37.6339,5.625,4.4464,INS_L_6_6,dId_l,112,173,INS,17,11
38.1818,6.0341,4.2955,INS_R_6_6,dId_r,88,174,INS,17,12
-3.3423,-39.8658,31.3087,CG_L_7_1,A23d_l,149,175,CG,18,1
