x,y,z,label,module
36.2239,18.8955,0.9403,dIa_r,INS
-38.1429,-3.6234,-9.1948,vId/vIg_l,INS
38.9259,-1.6667,-9.1111,vId/vIg_r,INS
-38.3023,-8.0581,8.6163,dIg_l,INS
39.2118,-6.7765,7.2,dIg_r,INS
-37.6339,5.625,4.4464,dId_l,INS
38.1818,6.0341,4.2955,dId_r,INS
-3.3423,-39.8658,31.3087,A23d_l,CG
5.1724,-38.2241,31.9914,A23d_r,CG
-3,8.5091,25.8,A24rv_l,CG
4.4815,22.1852,12.1111,A24rv_r,CG
-5.1667,33.5714,20.5238,A32p_l,CG
4.7328,27.569,27.7759,A32p_r,CG
-8.7143,-47.3714,9.4286,A23v_l,CG
8.2737,-44.6526,11.4947,A23v_r,CG
-4.1897,6.1552,37.9138,A24cd_l,CG
4.5,6.2143,38.4,A24cd_r,CG
-7.0599,-22.7246,40.6707,A23c_l,CG
6.375,-20.8026,40.6184,A23c_r,CG
-4.0203,38.4518,-2.1777,A32sg_l,CG
5.9,41.275,7.05,A32sg_r,CG
-10.6552,-82.3862,-10.6966,cLinG_l,MVOcC
10.4268,-85.5549,-8.7805,cLinG_r,MVOcC
-4.729,-80.6107,10.729,rCunG_l,MVOcC
7.3745,-75.6932,10.8765,rCunG_r,MVOcC
-5.5246,-94.2787,0.85246,cCunG_l,MVOcC
8.6209,-90.1813,11.6209,cCunG_r,MVOcC
-16.8634,-60.4229,-6.5022,rLinG_l,MVOcC
18.8684,-59.4135,-7.094,rLinG_r,MVOcC
-13.0619,-68.1959,12.1856,vmPOS_l,MVOcC
14.7857,-63.5455,12.5357,vmPOS_r,MVOcC
-30.5177,-89.1637,11.0708,mOccG_l,LOcC
34.3983,-85.8814,10.9576,mOccG_r,LOcC
-45.5467,-73.72,2.48,V5/MT/plus_l,LOcC
47.8745,-69.9791,-0.74059,V5/MT/plus_r,LOcC
-17.7103,-99.2069,2.9069,OPC_l,LOcC
22.3645,-96.9871,4.6452,OPC_r,LOcC
-30.1787,-87.9687,-12.2633,iOccG_l,LOcC
32.2338,-84.464,-11.2662,iOccG_r,LOcC
-10.8503,-87.9701,30.3413,msOccG_l,LOcC
16.4362,-84.8457,34.7713,msOccG_r,LOcC
-21.9655,-77.4483,36.1379,lsOccG_l,LOcC
28.7124,-74.1106,35.9071,lsOccG_r,LOcC
-18.5714,-3.2857,-18.7857,mAmyg_l,Amyg
19.2295,-2.4098,-18.6885,mAmyg_r,Amyg
-27.375,-4,-19.875,lAmyg_l,Amyg
27.9231,-3.3846,-19.8462,lAmyg_r,Amyg
-22.4451,-12.9512,-19.5,rHipp_l,Hipp
21.9149,-11.8511,-20.6383,rHipp_r,Hipp
-27.4335,-30.0694,-9.8844,cHipp_l,Hipp
28.8065,-27.7903,-9.5161,cHipp_r,Hipp
-11.6364,14.6818,0.5,vCa_l,BG
13.8065,14.4516,-2.129,vCa_r,BG
-21.3409,-1.6023,3.1023,GP_l,BG
21.75,-2.7391,2.6413,GP_r,BG
-17.6061,3.1212,-9.4545,NAC_l,BG
15.5197,7.0866,-9.3071,NAC_r,BG
-22.4842,6.6947,-3.7895,vmPu_l,BG
21.9324,8.0676,-1.5405,vmPu_r,BG
-14.6792,2.6415,16.2453,dCa_l,BG
13.9559,5.6471,14.1912,dCa_r,BG
-28.2826,-5.1522,1.7174,dlPu_l,BG
29.5594,-3.7552,1.7203,dlPu_r,BG
-6.551,-11.1429,5.2653,mPFtha_l,Tha
7.5652,-10.7609,6.2609,mPFtha_r,Tha
-18.45,-12.9,3.75,mPMtha_l,Tha
12.84,-12.78,0.84,mPMtha_r,Tha
-17.9302,-22.6744,2.8605,Stha_l,Tha
17.8269,-21.5192,3.2885,Stha_r,Tha
-7.5263,-16.1053,6.5263,rTtha_l,Tha
2.2031,-12.2344,4.5469,rTtha_r,Tha
-16.875,-24.6094,6.4219,PPtha_l,Tha
16.5,-25.6667,6.3333,PPtha_r,Tha
-14.473,-27.7703,3.8919,Otha_l,Tha
12.5854,-26.7073,7.6829,Otha_r,Tha
-11.9455,-22.0364,13.0364,cTtha_l,Tha
9.6383,-14.4894,14.234,cTtha_r,Tha
-11.3659,-14.4146,2.6098,lPFtha_l,Tha
12.3462,-15.0769,7.1923,lPFtha_r,Tha
-6.7135,-44.4811,-16.9622,Cerebellum_Left_I-IV,Cerebellum
10.541,-42.7541,-18.6721,Cerebellum_Right_I-IV,Cerebellum
-12.4605,-50.0512,-18.2512,Cerebellum_Left_V,Cerebellum
13.9468,-50.8404,-18.5585,Cerebellum_Right_V,Cerebellum
-22.2946,-58.1017,-24.7656,Cerebellum_Left_VI,Cerebellum
1.0734,-69.6606,-21.2202,Cerebellum_Vermis_VI,Cerebellum
23.7219,-55.9129,-25.0112,Cerebellum_Right_VI,Cerebellum
-36.6273,-68.1182,-31.1182,Cerebellum_Left_Crus_I,Cerebellum
36.6337,-67.3317,-30.7697,Cerebellum_Right_Crus_I,Cerebellum
-26.4967,-74.176,-41.5313,Cerebellum_Left_Crus_II,Cerebellum
0.33333,-75,-31.1111,Cerebellum_Vermis_Crus_II,Cerebellum
26.625,-75.5942,-41.1231,Cerebellum_Right_Crus_II,Cerebellum
-25.9872,-66.7692,-51.141,Cerebellum_Left_VIIb,Cerebellum
0,-67.5,-30,Cerebellum_Vermis_VIIb,Cerebellum
28.9091,-65.6206,-50.9881,Cerebellum_Right_VIIb,Cerebellum
-24.2271,-57.5498,-53.0438,Cerebellum_Left_VIIIa,Cerebellum
0.09375,-67.5469,-37.8281,Cerebellum_Vermis_VIIIa,Cerebellum
25.3882,-58.5059,-53.1412,Cerebellum_Right_VIIIa,Cerebellum
-16.7619,-50.8413,-54.9841,Cerebellum_Left_VIIIb,Cerebellum
-0.15385,-63.7692,-42.4615,Cerebellum_Vermis_VIIIb,Cerebellum
17.8939,-51.1515,-55.1364,Cerebellum_Right_VIIIb,Cerebellum
-6.7843,-53.4118,-48.1765,Cerebellum_Left_IX,Cerebellum
-0.26471,-55.2353,-37.8529,Cerebellum_Vermis_IX,Cerebellum
6.825,-53.235,-48.675,Cerebellum_Right_IX,Cerebellum
-20.8462,-37,-45.5385,Cerebellum_Left_X,Cerebellum
0.85714,-47.5714,-35.7857,Cerebellum_Vermis_X,Cerebellum
22.3256,-37.2558,-45.6279,Cerebellum_Right_X,Cerebellum
