x,y,z,size,module,r,g,b
-28.636,-73.26,-38.204,2.3853,1,0.52549,0.20784,0
32.057,-69.016,-39.949,2.6709,1,0.4,0.4,0.4
-8.8004,-37.223,-18.581,0.16805,1,0.4,0.4,0.4
12.319,-34.466,-19.391,0.25082,1,0.031373,0.031373,0.031373
-15.004,-43.486,-16.933,1.4162,1,0.031373,0.031373,0.031373
17.199,-42.861,-18.151,1.0602,1,0.79608,0.58431,0.58431
-23.238,-59.101,-22.131,2.1432,1,0.79608,0.58431,0.58431
24.691,-58.316,-23.645,2.2514,1,0.23922,0.23922,0.79608
-32.358,-59.82,-45.449,0.72721,1,0.23922,0.23922,0.79608
33.139,-63.178,-48.457,0.66309,1,0,0.79608,0
-25.751,-54.519,-47.685,2.3655,1,0,0.79608,0
25.064,-56.34,-49.468,2.8758,1,0.63529,0,0.21176
-10.947,-48.95,-45.903,1.0854,1,0.63529,0,0.21176
9.4602,-49.5,-46.327,1.013,1,0.63529,0.21176,0.05098
-22.614,-33.8,-41.765,0.18325,1,0.63529,0.21176,0.05098
25.995,-33.838,-41.347,0.20065,1,0,0.36863,0.36078
0.75743,-38.792,-20.05,0.063331,1,0,0.36863,0.36078
1.3804,-39.931,-11.398,0.28562,1,0.79608,0.79608,0.011765
1.2207,-52.362,-6.1138,0.83459,1,0.79608,0.79608,0.011765
1.1414,-67.059,-15.123,0.46338,1,0.63529,0,0.21961
1.1458,-71.93,-25.141,0.24517,1,0.63529,0.31765,0.79608
1.1521,-64.429,-34.08,0.30411,1,0,0,0
0.86467,-54.875,-34.896,0.21429,1,0,0,0
0.35584,-45.8,-31.683,0.13701,1,0,0,0
